hip_name,sy_snum,sy_pnum
HIP 70890,3,1
HIP 16537,1,1
HIP 114046,1,2
HIP 57548,1,1
HIP 1475,2,2
HIP 8102,1,4
HIP 108870,3,1
HIP 5643,1,3
HIP 24186,1,1
HIP 80824,1,3
HIP 85523,1,1
HIP 86162,1,2
HIP 113020,1,4
HIP 106440,1,2
HIP 86214,1,2
HIP 19849,3,1
HIP 33226,1,1
HIP 54035,1,2
HIP 29295,2,2
HIP 94761,2,1
HIP 36208,1,2
HIP 15510,1,4
HIP 74995,1,3
HIP 120005,2,1
HIP 80459,1,1
HIP 114622,1,6
HIP 14101,3,1
HIP 62452,1,1
HIP 86287,1,1
HIP 64924,1,3
HIP 99825,1,2
HIP 109388,1,2
HIP 56528,1,3
HIP 57443,2,1
HIP 47103,1,3
HIP 21932,1,1
HIP 102409,1,1
HIP 57087,1,1
HIP 4872,2,1
HIP 83043,1,1
HIP 68469,1,1
HIP 48714,1,1
HIP 79755,2,1
HIP 10138,2,1
HIP 57050,1,2
HIP 93101,1,1
HIP 3093,1,1
HIP 48331,1,1
HIP 63510,2,1
HIP 77257,1,1
HIP 54646,2,2
HIP 11048,1,1
HIP 22762,1,3
HIP 22627,1,1
HIP 40693,1,3
HIP 43587,2,5
HIP 55042,1,1
HIP 98698,1,1
HIP 80337,2,1
HIP 27887,1,5
HIP 110443,1,1
HIP 7513,2,3
HIP 53721,1,3
HIP 116727,2,1
HIP 61706,1,1
HIP 86087,1,1
HIP 79431,1,1
HIP 75181,1,3
HIP 49189,1,1
HIP 19394,1,3
HIP 59514,1,1
HIP 113357,1,1
HIP 86796,1,4
HIP 67275,2,1
HIP 98767,2,2
HIP 85647,2,4
HIP 63833,1,2
HIP 16069,1,2
HIP 71395,1,2
HIP 5812,1,1
HIP 93858,1,1
HIP 79126,1,1
HIP 6379,1,3
HIP 12653,1,1
HIP 7978,1,1
HIP 78459,1,2
HIP 64792,1,1
HIP 1292,2,1
HIP 38594,1,2
HIP 65721,1,1
HIP 3206,1,1
HIP 79248,1,2
HIP 107350,1,1
HIP 84460,1,2
HIP 55848,2,1
HIP 26394,1,2
HIP 19921,2,1
HIP 83389,1,1
HIP 49699,1,1
HIP 54373,1,2
HIP 112527,1,2
HIP 99711,1,1
HIP 27321,1,2
HIP 98505,2,1
HIP 31592,1,2
HIP 113421,1,2
HIP 9884,1,1
HIP 27803,1,2
HIP 64408,1,1
HIP 58451,1,1
HIP 21421,2,1
HIP 43790,1,1
HIP 25110,1,1
HIP 64457,1,2
HIP 4845,1,1
HIP 96901,3,1
HIP 109378,1,1
HIP 54906,1,1
HIP 112190,1,4
HIP 50921,1,1
HIP 30503,1,2
HIP 88348,1,4
HIP 3497,1,1
HIP 38228,1,2
HIP 14954,3,1
HIP 86620,3,1
HIP 27922 A,1,1
HIP 89474,1,1
HIP 12961,1,1
HIP 1499,1,2
HIP 3143,1,1
HIP 107772,1,1
HIP 74273,1,2
HIP 70849,2,1
HIP 84607,1,2
HIP 29432,1,1
HIP 115211,1,1
HIP 12186,2,1
HIP 19165,1,1
HIP 57274,1,3
HIP 36795,1,2
HIP 71481,1,1
HIP 22336,1,1
HIP 74500,1,2
HIP 522,2,2
HIP 58374,1,1
HIP 113137,1,1
HIP 95467,1,3
HIP 85268,1,5
HIP 90979,1,2
HIP 94645,1,1
HIP 47007,1,2
HIP 93540,1,2
HIP 64295,1,1
HIP 70170,1,1
HIP 10301,1,2
HIP 88194,2,1
HIP 80902,1,1
HIP 34785,1,1
HIP 10037,1,3
HIP 52521,1,1
HIP 106353,2,1
HIP 114322,1,1
HIP 62534,1,1
HIP 43177,2,1
HIP 16012,1,1
HIP 114699,1,1
HIP 40952,1,1
HIP 57370,1,1
HIP 31246,2,1
HIP 115752,1,3
HIP 21547,3,1
HIP 28754,1,1
HIP 33719,1,1
HIP 57172,2,1
HIP 77655,1,1
HIP 6390,1,1
HIP 87330,1,1
HIP 21571,1,1
HIP 116250,1,1
HIP 33212,1,1
HIP 75458,1,1
HIP 67246,2,1
HIP 38392,1,1
HIP 26381,1,3
HIP 72339,1,1
HIP 13363,2,3
HIP 50473,1,1
HIP 71135,1,1
HIP 65808,1,1
HIP 55486 A,2,1
HIP 38041,1,1
HIP 17187,1,1
HIP 48455,1,1
HIP 113044,1,1
HIP 8159,1,1
HIP 35173,1,1
HIP 101948,2,1
HIP 62875,1,1
HIP 16085,1,2
HIP 77740,1,1
HIP 17096,1,1
HIP 48235,1,1
HIP 9094,2,2
HIP 32775,1,1
HIP 28767,3,1
HIP 59743 A,2,1
HIP 101966,2,1
HIP 3479,1,1
HIP 79242,2,1
HIP 30579,1,2
HIP 46076,1,1
HIP 2247,1,1
HIP 52409,1,2
HIP 30905,1,1
HIP 33229,1,2
HIP 38558,3,2
HIP 78169,1,1
HIP 15526,2,5
HIP 15527,2,5
HIP 5529,1,1
HIP 63584,1,1
HIP 84171,1,2
HIP 94931,3,5
HIP 113238,1,1
HIP 28393 A,2,2
HIP 29242,1,1
HIP 53719,1,1
HIP 77301,1,4
HIP 18527,1,1
HIP 31540,1,2
HIP 90485,1,2
HIP 70695,1,1
HIP 100970,2,1
HIP 37284,1,1
HIP 97657,1,2
HIP 66047,1,1
HIP 12048,2,1
HIP 64459,2,1
HIP 9683,1,2
HIP 6702,2,1
HIP 26380,1,1
HIP 23884,1,1
HIP 59610,1,1
HIP 22905,1,3
HIP 50786,2,1
HIP 5806,2,1
HIP 72607,1,1
HIP 60644,1,1
HIP 7599,1,6
HIP 17264,1,2
HIP 105232,1,1
HIP 88414,1,1
HIP 20723,1,1
HIP 57291,1,1
HIP 89844,1,2
HIP 50583 A,2,1
HIP 102125,2,1
HIP 64426,2,1
HIP 93373,1,1
HIP 80250,1,2
HIP 76351,1,1
HIP 112441,1,2
HIP 111143,2,1
HIP 47202,1,1
HIP 19428,1,1
HIP 94075,3,1
HIP 114189,1,4
HIP 49067,1,2
HIP 28393 B,2,2
HIP 90004,1,1
HIP 68162,1,1
HIP 14530,1,2
HIP 3391,3,1
HIP 116906,2,1
HIP 55409,1,1
HIP 109381,1,1
HIP 27253,2,2
HIP 5054,1,1
HIP 114458,1,1
HIP 32916,1,1
HIP 52472,1,1
HIP 83949,1,2
HIP 20277,1,3
HIP 114855,3,1
HIP 116748 A,2,1
HIP 13291,1,1
HIP 67285,1,1
HIP 12184,4,1
HIP 91085,1,1
HIP 11433,1,2
HIP 6643,1,1
HIP 19207,1,1
HIP 89354,1,1
HIP 108375,1,1
HIP 28941,2,1
HIP 77517,1,1
HIP 58237,1,1
HIP 48739,1,2
HIP 91258,1,1
HIP 97546,1,1
HIP 44291,1,1
HIP 97336,1,2
HIP 104903,2,1
HIP 24681,1,6
HIP 88048,1,2
HIP 32970,1,2
HIP 17960,1,2
HIP 77838,1,1
HIP 26664,1,2
HIP 30860,1,1
HIP 115662,1,1
HIP 2736,1,3
HIP 10626,1,1
HIP 76333,1,2
HIP 20889,1,1
HIP 15578,1,1
HIP 84856,2,1
HIP 95015,1,1
HIP 106006,1,2
HIP 75281,1,1
HIP 111553,1,2
HIP 108859,1,1
HIP 9519,1,1
HIP 83547,1,1
HIP 60788,2,1
HIP 45406,2,1
HIP 104780,1,1
HIP 110620,1,1
HIP 60081,2,2
HIP 56572,1,1
HIP 89047,1,1
